algorithm,min_support,max_len,ohe_kind,n_transactions_before,n_transactions_after_filter,n_items_after_filter,n_frequent_itemsets,time_ohe_sec,time_itemsets_sec,time_ohe_plus_itemsets_sec,min_confidence,n_rules,n_unique_recommendable_items,time_rules_sec,time_total_sec
apriori,0.0008,3,sparse,36498,9231,319,18824,0.07504059991333634,0.24784150009509176,0.3228821000084281,0.3,46819,174,3.032859200029634,3.355741300038062
apriori,0.0008,3,sparse,36498,9231,319,18824,0.07504059991333634,0.24784150009509176,0.3228821000084281,0.5,37366,153,2.206487699993886,2.529369800002314
apriori,0.0008,3,sparse,36498,9231,319,18824,0.07504059991333634,0.24784150009509176,0.3228821000084281,0.7,22425,119,1.520616100053303,1.843498200061731
apriori,0.001,3,sparse,36498,7864,222,10296,0.0599543999414891,0.10477510001510382,0.16472949995659292,0.3,24451,126,1.499458200065419,1.664187700022012
apriori,0.001,3,sparse,36498,7864,222,10296,0.0599543999414891,0.10477510001510382,0.16472949995659292,0.5,18574,111,1.372967700008303,1.5376971999648958
apriori,0.001,3,sparse,36498,7864,222,10296,0.0599543999414891,0.10477510001510382,0.16472949995659292,0.7,10289,87,0.7094721000175923,0.8742015999741852
apriori,0.0015,3,sparse,36498,5240,97,3452,0.16474399995058775,0.03099680005107075,0.1957408000016585,0.3,7691,68,0.42454350006300956,0.6202843000646681
apriori,0.0015,3,sparse,36498,5240,97,3452,0.16474399995058775,0.03099680005107075,0.1957408000016585,0.5,5240,62,0.30284100002609193,0.49858180002775043
apriori,0.0015,3,sparse,36498,5240,97,3452,0.16474399995058775,0.03099680005107075,0.1957408000016585,0.7,2288,49,0.1233613999793306,0.3191021999809891
apriori,0.002,3,sparse,36498,4010,57,1347,0.0478865000186488,0.016082199988886714,0.06396870000753552,0.3,2631,42,0.17477130005136132,0.23874000005889684
apriori,0.002,3,sparse,36498,4010,57,1347,0.0478865000186488,0.016082199988886714,0.06396870000753552,0.5,1731,37,0.12726009998004884,0.19122879998758435
apriori,0.002,3,sparse,36498,4010,57,1347,0.0478865000186488,0.016082199988886714,0.06396870000753552,0.7,683,28,0.08838770003058016,0.15235640003811568
