algorithm,min_support,max_len,ohe_kind,n_transactions_before,n_transactions_after_filter,n_items_after_filter,n_frequent_itemsets,time_ohe_sec,time_itemsets_sec,time_ohe_plus_itemsets_sec,min_confidence,n_rules,n_unique_recommendable_items,time_rules_sec,time_total_sec
fpgrowth,0.0008,3,dense,36498,9231,319,18824,0.06173069996293634,0.7860206000041217,0.847751299967058,0.3,46819,174,3.238394300104119,4.086145600071177
fpgrowth,0.0008,3,dense,36498,9231,319,18824,0.06173069996293634,0.7860206000041217,0.847751299967058,0.5,37366,153,2.252580599975772,3.10033189994283
fpgrowth,0.0008,3,dense,36498,9231,319,18824,0.06173069996293634,0.7860206000041217,0.847751299967058,0.7,22425,119,1.3661782999988645,2.2139295999659225
fpgrowth,0.001,3,dense,36498,7864,222,10296,0.16378609999082983,0.3031446000095457,0.4669307000003755,0.3,24451,126,1.4241401000181213,1.8910708000184968
fpgrowth,0.001,3,dense,36498,7864,222,10296,0.16378609999082983,0.3031446000095457,0.4669307000003755,0.5,18574,111,1.0247886000433937,1.4917193000437692
fpgrowth,0.001,3,dense,36498,7864,222,10296,0.16378609999082983,0.3031446000095457,0.4669307000003755,0.7,10289,87,0.7030417999485508,1.1699724999489263
fpgrowth,0.0015,3,dense,36498,5240,97,3452,0.07039949996396899,0.11574929999187589,0.18614879995584488,0.3,7691,68,0.43475380004383624,0.6209025999996811
fpgrowth,0.0015,3,dense,36498,5240,97,3452,0.07039949996396899,0.11574929999187589,0.18614879995584488,0.5,5240,62,0.3636073999805376,0.5497561999363825
fpgrowth,0.0015,3,dense,36498,5240,97,3452,0.07039949996396899,0.11574929999187589,0.18614879995584488,0.7,2288,49,0.14520639996044338,0.33135519991628826
fpgrowth,0.002,3,dense,36498,4010,57,1347,0.06441089999862015,0.034461200004443526,0.09887210000306368,0.3,2631,42,0.144317299942486,0.24318939994554967
fpgrowth,0.002,3,dense,36498,4010,57,1347,0.06441089999862015,0.034461200004443526,0.09887210000306368,0.5,1731,37,0.10677869990468025,0.20565079990774393
fpgrowth,0.002,3,dense,36498,4010,57,1347,0.06441089999862015,0.034461200004443526,0.09887210000306368,0.7,683,28,0.04686180001590401,0.1457339000189677
